event_id,session_token,event_type,timestamp,device_type,response_time_ms
evt_0001,session_001_hash,page_view,2026-07-01T09:08:00Z,tablet,177
evt_0002,session_001_hash,api_call,2026-07-01T09:08:33Z,tablet,138
evt_0003,session_001_hash,page_view,2026-07-01T09:10:58Z,tablet,229
evt_0004,session_001_hash,page_view,2026-07-01T09:09:33Z,tablet,209
evt_0005,session_001_hash,page_view,2026-07-01T09:11:16Z,tablet,167
evt_0006,session_001_hash,button_click,2026-07-01T09:15:25Z,tablet,179
evt_0007,session_001_hash,page_view,2026-07-01T09:12:48Z,tablet,137
evt_0008,session_002_hash,button_click,2026-07-01T09:16:00Z,mobile,193
evt_0009,session_002_hash,page_view,2026-07-01T09:16:39Z,mobile,200
evt_0010,session_002_hash,button_click,2026-07-01T09:17:02Z,mobile,271
evt_0011,session_002_hash,button_click,2026-07-01T09:17:36Z,mobile,148
evt_0012,session_002_hash,api_call,2026-07-01T09:17:40Z,mobile,219
evt_0013,session_002_hash,button_click,2026-07-01T09:22:30Z,mobile,35
evt_0014,session_002_hash,api_call,2026-07-01T09:19:00Z,mobile,146
evt_0015,session_002_hash,button_click,2026-07-01T09:22:39Z,mobile,216
evt_0016,session_002_hash,api_call,2026-07-01T09:21:52Z,mobile,112
evt_0017,session_002_hash,button_click,2026-07-01T09:20:12Z,mobile,217
evt_0018,session_003_hash,button_click,2026-07-01T09:24:00Z,mobile,191
evt_0019,session_003_hash,page_view,2026-07-01T09:24:55Z,mobile,80
evt_0020,session_003_hash,button_click,2026-07-01T09:26:14Z,mobile,210
evt_0021,session_003_hash,api_call,2026-07-01T09:26:18Z,mobile,138
evt_0022,session_003_hash,api_call,2026-07-01T09:25:56Z,mobile,104
evt_0023,session_003_hash,button_click,2026-07-01T09:27:25Z,mobile,139
evt_0024,session_003_hash,button_click,2026-07-01T09:30:48Z,mobile,171
evt_0025,session_003_hash,page_view,2026-07-01T09:29:36Z,mobile,137
evt_0026,session_004_hash,button_click,2026-07-01T09:32:00Z,mobile,82
evt_0027,session_004_hash,api_call,2026-07-01T09:32:54Z,mobile,291
evt_0028,session_004_hash,page_view,2026-07-01T09:34:00Z,mobile,229
evt_0029,session_004_hash,button_click,2026-07-01T09:36:09Z,mobile,83
evt_0030,session_004_hash,button_click,2026-07-01T09:34:32Z,mobile,254
evt_0031,session_004_hash,button_click,2026-07-01T09:35:05Z,mobile,181
evt_0032,session_004_hash,api_call,2026-07-01T09:39:24Z,mobile,250
evt_0033,session_005_hash,button_click,2026-07-01T09:40:00Z,desktop,210
evt_0034,session_005_hash,page_view,2026-07-01T09:40:31Z,desktop,179
evt_0035,session_005_hash,api_call,2026-07-01T09:41:08Z,desktop,198
evt_0036,session_005_hash,api_call,2026-07-01T09:43:42Z,desktop,206
evt_0037,session_005_hash,button_click,2026-07-01T09:41:52Z,desktop,124
evt_0038,session_005_hash,button_click,2026-07-01T09:47:15Z,desktop,229
evt_0039,session_005_hash,api_call,2026-07-01T09:49:00Z,desktop,185
evt_0040,session_005_hash,api_call,2026-07-01T09:43:58Z,desktop,173
evt_0041,session_005_hash,button_click,2026-07-01T09:51:44Z,desktop,180
evt_0042,session_006_hash,page_view,2026-07-01T09:48:00Z,mobile,85
evt_0043,session_006_hash,api_call,2026-07-01T09:49:18Z,mobile,267
evt_0044,session_006_hash,api_call,2026-07-01T09:49:46Z,mobile,181
evt_0045,session_006_hash,api_call,2026-07-01T09:50:06Z,mobile,153
